GuessWord,Max,Median,Average
spaed,1179,324.0,349.86177105831536
spaer,1367,270.0,316.01382289416847
spaes,1232,418.0,418.9637149028078
spags,1425,713.0,617.9727861771058
spahi,1276,512.0,507.3097192224622
spail,1285,380.0,388.5572354211663
spain,1304,401.0,408.0626349892009
spait,1239,396.0,380.28423326133907
spake,1215,375.0,396.63758099352054
spald,1314,457.0,439.57710583153346
spale,1174,285.0,314.844060475162
spall,1224,611.0,497.07257019438447
spalt,1249,406.0,380.9149028077754
spams,1448,754.0,650.67343412527
spane,1162,284.0,311.23239740820736
spang,1379,516.0,500.61684665226784
spans,1379,616.0,542.3373650107991
spard,1334,462.0,426.37753779697624
spars,1417,518.0,523.3049676025918
spart,1284,365.0,379.47429805615553
spate,1189,288.0,317.73693304535635
spats,1405,616.0,549.0237580993521
spaul,1222,449.0,439.6920086393089
spawl,1459,544.0,513.9680345572355
spaws,1368,770.0,684.1710583153348
spayd,1407,532.0,528.6185745140389
spays,1491,688.0,638.4466522678185
spaza,1420,853.0,656.1619870410367
spazz,1678,853.0,788.3900647948165
speal,1616,397.0,417.9866090712743
spean,1382,396.0,409.7745140388769
speat,1524,346.0,392.36803455723543
specs,1451,577.0,605.2241900647948
spect,1307,389.0,436.8077753779698
speel,1258,522.0,400.78790496760257
speer,1288,486.0,406.15464362850975
speil,1353,404.0,417.5464362850972
speir,1291,349.0,373.37019438444923
speks,1647,696.0,729.816414686825
speld,1402,481.0,476.3019438444924
spelk,1569,473.0,541.4038876889849
speos,1664,450.0,551.3239740820734
spets,1472,540.0,582.6686825053996
speug,1491,556.0,573.2159827213823
spews,1629,696.0,736.1088552915767
spewy,1332,517.0,547.8362850971922
spial,1316,380.0,411.17019438444925
spica,1353,420.0,463.0419006479482
spick,1358,748.0,612.2133909287257
spics,1389,804.0,623.7360691144709
spide,1226,402.0,392.54686825053994
spier,1211,297.0,339.9809935205184
spies,1255,499.0,457.9658747300216
spiff,1560,924.0,783.5019438444924
spifs,1349,924.0,738.3200863930886
spiks,1386,939.0,740.2142548596113
spile,1187,338.0,341.6120950323974
spims,1454,883.0,700.5723542116631
spina,1369,475.0,452.0509719222462
spink,1362,710.0,591.1641468682506
spins,1403,780.0,616.6056155507559
spirt,1272,420.0,405.1062634989201
spiry,1150,448.0,414.95161987041035
spits,1411,752.0,605.229373650108
spitz,1588,730.0,630.6185745140389
spivs,1472,958.0,757.1883369330453
splay,1388,488.0,453.7641468682505
splog,1477,654.0,560.7049676025918
spode,1247,361.0,384.4561555075594
spods,1474,792.0,662.5796976241901
spoom,1244,875.0,681.875161987041
spoor,1306,606.0,504.76501079913606
spoot,1275,704.0,524.133909287257
spork,1543,543.0,533.9922246220302
sposh,1429,838.0,625.080777537797
